Infectious dose,Food,Emergence,Age at pupation,pupation,juvenile death,age at pupation (censored),Age Death,Longevity after emergence,Sex,Spore Count
5000,100,0,,,1,5,5,,,
5000,50,1,7.5,early,0,7.5,25,16.5,M,270000
80000,100,0,8.5,late,1,8.5,8.5,,,
80000,50,0,,,1,3,3,,,
80000,100,1,8,late,0,8,15,6,F,3000
80000,50,1,8.5,late,0,8.5,24,14.5,F,890000
0,100,1,7.5,early,0,7.5,22,13.5,M,
0,50,1,7.5,early,0,7.5,17,8.5,M,
0,100,1,7.5,early,0,7.5,31,22.5,F,
0,50,1,7.5,early,0,7.5,23,14.5,F,
40000,50,1,7.5,early,0,7.5,18,9.5,F,76000
40000,100,1,7.5,early,0,7.5,25,16.5,F,130000
40000,50,0,,,1,5,5,,,
40000,100,1,8,late,0,8,29,20,F,1295000
20000,50,1,7.5,early,0,7.5,23,14.5,F,685000
20000,50,1,7.5,early,0,7.5,30,21.5,M,85000
20000,100,0,,,1,9,9,,,
80000,50,0,,,1,8,8,,,
80000,100,1,8,late,0,8,24,15,M,680000
80000,100,0,7,early,1,7,7,,,
160000,100,1,9.5,late,0,9.5,21,10.5,M,72000
160000,50,1,10,late,0,10,25,14,M,375000
160000,100,1,8.5,late,0,8.5,28,18.5,F,490000
160000,50,0,,,1,8,8,,,
0,100,1,7.5,early,0,7.5,37,28.5,F,0
0,50,0,7.5,early,1,7.5,7.5,,,
0,100,1,6.5,early,0,6.5,24,16.5,M,0
10000,100,1,,,0,,9,8,,
10000,50,1,8.5,late,0,8.5,23,13.5,M,625000
10000,100,1,7.5,early,0,7.5,18,9.5,M,195000
10000,50,1,8.5,late,0,8.5,35,25.5,F,280000
20000,50,0,7.5,early,1,7.5,7.5,,,
20000,100,1,7,early,0,7,21,13,M,215000
20000,50,0,,,1,8,8,,,
20000,100,1,7.5,early,0,7.5,22,13.5,F,275000
10000,50,0,,,1,6,6,,,
10000,100,1,6.5,early,0,6.5,22,14.5,M,185000
10000,50,1,8,late,0,8,25,16,F,445000
10000,100,1,7,early,0,7,22,14,F,1525000
160000,50,1,8.5,late,0,8.5,17,7.5,F,295000
160000,100,1,7.5,early,0,7.5,28,19.5,M,170000
160000,50,1,7.5,early,0,7.5,19,10.5,F,570000
160000,100,1,6.5,early,0,6.5,24,16.5,M,305000
40000,100,0,7,early,1,7,7,,,
40000,50,1,6.5,early,0,6.5,22,14.5,M,128000
40000,100,1,7.5,early,0,7.5,22,13.5,M,195000
40000,50,1,7.5,early,0,7.5,26,17.5,F,145000
80000,100,1,7.5,early,0,7.5,13,4.5,M,2000
80000,50,1,9.5,late,0,9.5,28,17.5,F,420000
80000,100,1,8,late,0,8,26,17,M,210000
80000,50,0,,,1,5,5,,,
5000,100,1,7,early,0,7,25,17,F,915000
5000,50,1,8.5,late,0,8.5,31,21.5,F,310000
5000,100,1,7.5,early,0,7.5,23,14.5,F,580000
5000,50,1,7.5,early,0,7.5,23,14.5,M,24000
80000,50,1,8,late,0,8,21,12,M,190000
80000,100,1,7.5,early,0,7.5,26,17.5,M,145000
80000,50,1,7.5,early,0,7.5,12,3.5,M,24000
80000,100,1,7.5,early,0,7.5,25,16.5,F,285000
0,50,1,7.5,early,0,7.5,31,22.5,F,
0,100,1,6.5,early,0,6.5,30,22.5,M,
0,50,1,7.5,early,0,7.5,27,18.5,M,
0,100,1,7,early,0,7,30,22,M,
0,50,1,7.5,early,0,7.5,19,10.5,M,
0,100,1,7,early,0,7,29,21,M,
0,50,1,7,early,0,7,25,17,M,
0,100,1,7.5,early,0,7.5,28,19.5,F,
10000,100,1,8,late,0,8,30,21,F,225000
10000,50,1,8,late,0,8,27,18,F,510000
10000,100,1,6.5,early,0,6.5,25,17.5,M,210000
10000,50,1,7.5,early,0,7.5,20,11.5,M,175000
160000,100,1,8.5,late,0,8.5,27,17.5,F,145000
160000,50,0,,,1,9,9,,,
160000,100,1,7,early,0,7,15,7,M,50000
160000,50,1,7.5,early,0,7.5,22,13.5,M,195000
20000,100,1,8,late,0,8,25,16,F,435000
20000,50,1,7.5,early,0,7.5,13,4.5,F,155000
20000,100,1,6.5,early,0,6.5,19,11.5,F,43000
20000,50,0,8.5,late,1,9.5,9.5,,,
20000,50,1,7.5,early,0,7.5,21,12.5,F,360000
20000,100,1,7,early,0,7,22,14,M,125000
20000,50,1,8,late,0,8,33,24,F,290000
20000,100,1,7.5,early,0,7.5,17,8.5,M,45000
40000,50,1,7.5,early,0,7.5,23,14.5,F,465000
40000,100,1,7,early,0,7,30,22,M,380000
40000,50,1,7.5,early,0,7.5,14,5.5,M,75000
40000,100,1,7,early,0,7,20,12,F,320000
5000,50,0,7.5,early,1,7.5,7.5,,,
5000,100,1,6.5,early,0,6.5,30,22.5,M,50000
5000,50,1,7.5,early,0,7.5,10,2.5,M,23000
5000,100,1,7,early,0,7,11,3,M,0
5000,100,0,7.5,early,1,8.5,8.5,,M,0
5000,50,1,7.5,early,0,7.5,25,16.5,M,51000
5000,100,1,7.5,early,0,7.5,23,14.5,M,79000
5000,50,0,,,1,8,8,,,
80000,100,1,8,late,0,8,24,15,M,165000
80000,50,1,9,late,0,9,26,16,F,225000
80000,100,1,7.5,early,0,7.5,22,13.5,M,116000
80000,50,1,8,late,0,8,25,16,M,190000
0,100,1,7,early,0,7,34,26,F,
0,50,0,,,1,3,3,,,
0,100,0,7.5,early,1,7.5,7.5,,,
0,50,1,7.5,early,0,7.5,30,21.5,F,
10000,50,1,8.5,late,0,8.5,26,16.5,F,42000
10000,100,0,,,1,5,5,,,
10000,50,1,7,early,0,7,24,16,M,240000
10000,100,1,7.5,early,0,7.5,27,18.5,F,695000
40000,50,1,8.5,late,0,8.5,19,9.5,F,213000
40000,100,1,8,late,0,8,30,21,M,145000
40000,50,1,8,late,0,8,21,12,M,21000
40000,100,1,8,late,0,8,31,22,F,860000
160000,50,1,10,late,0,10,29,18,F,570000
160000,100,0,8.5,late,1,8.5,8.5,,,
160000,50,1,7.5,early,0,7.5,18,9.5,M,260000
160000,100,1,7,early,0,7,27,19,F,170000
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
,,0,,,1,,,,,
